Time	 LatitudeDegrees 	 LongitudeDegrees 	 AltitudeMeters 	 DistanceMeters 	HeartRateBpm	Cadence	 Speed 
7:39:31 PM	 49.2686274368315 	 (123.1821886729440)	 43.40 	 689.840 	118	98	 8.303 
7:39:32 PM	 49.2686292808502 	 (123.1823038402940)	 43.00 	 698.230 	118	99	 8.401 
7:39:33 PM	 49.2686307895928 	 (123.1824225280430)	 42.40 	 706.770 	118	101	 8.534 
7:39:34 PM	 49.2686312925070 	 (123.1825439818200)	 42.00 	 715.380 	118	102	 8.602 
7:39:41 PM	 49.2686493135988 	 (123.1834088265890)	 42.00 	 777.850 	119	100	 9.116 
7:39:43 PM	 49.2686463799327 	 (123.1836584396660)	 42.00 	 796.280 	119	101	 9.237 
7:39:44 PM	 49.2686467990279 	 (123.1837840005750)	 41.40 	 805.500 	119	101	 9.211 
7:39:45 PM	 49.2686505708843 	 (123.1839163508260)	 41.20 	 814.700 	119	103	 9.197 
7:39:46 PM	 49.2686540912836 	 (123.1840440072110)	 40.40 	 824.140 	119	103	 9.442 
7:39:47 PM	 49.2686569411307 	 (123.1841753516340)	 40.20 	 833.660 	118	77	 9.524 
7:39:48 PM	 49.2686632275581 	 (123.1843100488180)	 39.60 	 843.400 	118	0	 9.567 
7:39:51 PM	 49.2686723638325 	 (123.1846313271670)	 39.60 	 868.760 	116	0	 7.682 
7:39:55 PM	 49.2686762195080 	 (123.1848994642490)	 39.60 	 891.670 	113	0	 4.649 
7:39:59 PM	 49.2686649877578 	 (123.1849617417900)	 39.60 	 900.340 	110	0	 -   
7:40:18 PM	 49.2686556838452 	 (123.1849736440920)	 37.40 	 900.340 	92	24	 1.876 
7:40:19 PM	 49.2686595395207 	 (123.1850140448650)	 37.40 	 902.720 	92	33	 2.448 
7:40:20 PM	 49.2686614673584 	 (123.1850906554600)	 37.40 	 906.280 	92	53	 3.559 
7:40:22 PM	 49.2686745431274 	 (123.1852823495860)	 37.40 	 916.050 	95	92	 5.350 
7:40:24 PM	 49.2686965037137 	 (123.1855017878110)	 37.40 	 931.090 	100	100	 7.736 
7:40:25 PM	 49.2687035445123 	 (123.1856137700370)	 37.20 	 939.100 	102	101	 8.027 
7:40:26 PM	 49.2687078192830 	 (123.1857358105480)	 36.60 	 947.260 	104	104	 8.149 
7:40:27 PM	 49.2687109205871 	 (123.1858495529740)	 36.20 	 955.460 	105	107	 8.211 
7:40:28 PM	 49.2687136027961 	 (123.1859777960920)	 35.60 	 963.970 	107	111	 8.505 
7:40:29 PM	 49.2687128484249 	 (123.1861061230300)	 35.40 	 972.920 	108	112	 8.949 
7:40:31 PM	 49.2687130998820 	 (123.1863680575040)	 35.40 	 991.400 	110	103	 9.399 
7:40:34 PM	 49.2687071487307 	 (123.1867801956830)	 34.60 	 1,020.580 	111	84	 9.786 
7:40:35 PM	 49.2687053885310 	 (123.1869227718560)	 34.40 	 1,030.480 	112	86	 9.944 
7:40:36 PM	 49.2687027063220 	 (123.1870652642100)	 33.60 	 1,040.510 	113	86	 10.015 
7:40:37 PM	 49.2687027063220 	 (123.1872032303360)	 33.40 	 1,050.610 	112	74	 10.109 
7:40:38 PM	 49.2687040474265 	 (123.1873149611050)	 32.60 	 1,059.550 	112	37	 8.930 
7:40:41 PM	 49.2687063943594 	 (123.1875110976390)	 32.60 	 1,077.960 	111	0	 4.751 
7:40:43 PM	 49.2686979286372 	 (123.1875333096830)	 32.60 	 1,081.150 	110	0	 -   
7:41:06 PM	 49.2686882056295 	 (123.1875821761780)	 32.60 	 1,081.150 	91	27	 2.263 
7:41:07 PM	 49.2686943244189 	 (123.1876359879970)	 32.60 	 1,083.410 	92	49	 2.263 
7:41:08 PM	 49.2686992697417 	 (123.1876982655370)	 32.60 	 1,088.440 	95	62	 5.043 
7:41:09 PM	 49.2686952464282 	 (123.1877999380230)	 32.60 	 1,094.170 	97	79	 5.715 
7:41:10 PM	 49.2686970904469 	 (123.1879096571350)	 32.60 	 1,101.470 	100	86	 7.315 
7:41:11 PM	 49.2687040474265 	 (123.1880207173520)	 32.60 	 1,108.690 	100	89	 7.216 
7:41:12 PM	 49.2687132675200 	 (123.1881315261120)	 32.60 	 1,116.250 	103	91	 7.546 
7:41:14 PM	 49.2687448672950 	 (123.1883441749960)	 32.60 	 1,131.780 	106	96	 7.880 
7:41:16 PM	 49.2687660735100 	 (123.1885708216570)	 32.60 	 1,147.930 	109	98	 8.149 
7:41:17 PM	 49.2687687557190 	 (123.1886862404640)	 32.60 	 1,156.140 	109	99	 8.211 
7:41:20 PM	 49.2687763832509 	 (123.1890257075420)	 32.60 	 1,180.900 	112	100	 8.274 
7:41:25 PM	 49.2687871120870 	 (123.1896086689080)	 32.60 	 1,222.930 	115	103	 8.505 
7:41:27 PM	 49.2687867768108 	 (123.1898479722440)	 32.60 	 1,240.060 	116	104	 8.572 
7:41:32 PM	 49.2687916383147 	 (123.1904383096840)	 32.60 	 1,282.790 	119	101	 8.475 
7:41:34 PM	 49.2688000202178 	 (123.1906636990600)	 32.40 	 1,299.630 	119	102	 8.392 
7:41:35 PM	 49.2688058875501 	 (123.1907826382660)	 32.00 	 1,308.090 	120	101	 8.475 
7:41:36 PM	 49.2688101623207 	 (123.1908947881310)	 31.60 	 1,316.540 	120	101	 8.442 
7:41:37 PM	 49.2688146047294 	 (123.1910112965850)	 31.20 	 1,325.020 	120	100	 8.475 
7:41:38 PM	 49.2688168678432 	 (123.1911263801150)	 30.60 	 1,333.390 	120	100	 8.376 
7:41:43 PM	 49.2688467912375 	 (123.1916789989910)	 30.60 	 1,374.530 	123	98	 8.152 
7:41:45 PM	 49.2688528262078 	 (123.1918882951140)	 30.60 	 1,390.530 	123	96	 8.060 
7:41:47 PM	 49.2688580229878 	 (123.1920881196850)	 30.60 	 1,406.270 	124	96	 7.826 
7:41:51 PM	 49.2688534129410 	 (123.1924886070190)	 30.60 	 1,436.530 	125	101	 7.420 
7:41:55 PM	 49.2688410915434 	 (123.1928789522490)	 31.20 	 1,465.310 	125	97	 7.124 
7:41:56 PM	 49.2688415106385 	 (123.1929751764980)	 31.60 	 1,472.400 	125	96	 7.052 
7:41:57 PM	 49.2688405886292 	 (123.1930741667740)	 32.00 	 1,479.310 	125	95	 6.939 
7:41:58 PM	 49.2688411753624 	 (123.1931685470040)	 32.40 	 1,486.400 	125	94	 6.961 
7:41:59 PM	 49.2688443604856 	 (123.1932532880450)	 32.60 	 1,493.170 	125	96	 6.894 
7:42:05 PM	 49.2688680812716 	 (123.1937145441770)	 32.60 	 1,532.160 	127	98	 6.381 
7:42:08 PM	 49.2688813246786 	 (123.1939231697460)	 32.60 	 1,550.930 	128	96	 6.215 
7:42:09 PM	 49.2688919696956 	 (123.1939970143130)	 33.40 	 1,557.130 	128	96	 6.197 
7:42:10 PM	 49.2688945680856 	 (123.1940707750610)	 33.60 	 1,563.340 	128	90	 6.215 
7:42:11 PM	 49.2689035367220 	 (123.1941412668670)	 34.40 	 1,570.920 	128	87	 7.577 
7:42:12 PM	 49.2689009383320 	 (123.1942246668040)	 34.60 	 1,577.330 	129	88	 6.420 
7:42:13 PM	 49.2689068056643 	 (123.1943094916640)	 35.20 	 1,583.750 	129	88	 6.401 
7:42:16 PM	 49.2689170315861 	 (123.1945451069620)	 35.20 	 1,602.710 	131	96	 6.307 
7:42:21 PM	 49.2689705919474 	 (123.1948968954380)	 35.40 	 1,633.790 	132	96	 6.215 
7:42:22 PM	 49.2689687479287 	 (123.1949702370910)	 36.00 	 1,639.960 	133	96	 6.178 
7:42:23 PM	 49.2689731903374 	 (123.1950538046650)	 36.40 	 1,646.130 	133	95	 6.162 
7:42:24 PM	 49.2689722683280 	 (123.1951339356600)	 36.60 	 1,652.310 	133	94	 6.178 
7:42:25 PM	 49.2689773812890 	 (123.1952199339860)	 37.40 	 1,658.420 	134	94	 6.109 
7:42:28 PM	 49.2689861822873 	 (123.1954704690720)	 37.60 	 1,676.720 	135	94	 6.125 
7:42:30 PM	 49.2689999286085 	 (123.1956193316720)	 38.40 	 1,688.750 	135	92	 5.973 
7:42:31 PM	 49.2690081428736 	 (123.1956918351350)	 39.20 	 1,694.680 	135	91	 5.940 
7:42:32 PM	 49.2690156027674 	 (123.1957655120640)	 39.40 	 1,700.600 	135	89	 5.922 
7:42:40 PM	 49.2690301034599 	 (123.1964376568790)	 40.00 	 1,746.470 	137	89	 5.717 
7:42:41 PM	 49.2690342105925 	 (123.1965239904820)	 40.40 	 1,752.220 	137	88	 5.749 
7:42:42 PM	 49.2690290976315 	 (123.1966047082090)	 40.60 	 1,757.890 	137	87	 5.657 
7:42:43 PM	 49.2690285108983 	 (123.1966798100620)	 41.20 	 1,763.500 	137	87	 5.612 
7:42:44 PM	 49.2690276727080 	 (123.1967548280950)	 41.40 	 1,769.110 	138	87	 5.612 
7:42:45 PM	 49.2690390720963 	 (123.1968414131550)	 41.40 	 1,774.930 	138	88	 5.763 
7:42:48 PM	 49.2690389882773 	 (123.1971107237040)	 42.00 	 1,792.060 	139	87	 5.636 
7:42:49 PM	 49.2690399102866 	 (123.1971838977180)	 42.40 	 1,797.560 	139	87	 5.636 
7:42:50 PM	 49.2690408322960 	 (123.1972539704290)	 43.00 	 1,803.180 	139	86	 5.606 
7:42:51 PM	 49.2690415866672 	 (123.1973152421410)	 43.40 	 1,808.730 	139	86	 5.563 
7:42:52 PM	 49.2690493818372 	 (123.1973812077190)	 43.60 	 1,814.330 	140	87	 5.592 
7:42:54 PM	 49.2690674867480 	 (123.1974915973840)	 44.20 	 1,825.510 	140	86	 5.577 
7:42:55 PM	 49.2690601944923 	 (123.1975588202470)	 44.40 	 1,831.100 	140	87	 5.606 
7:42:56 PM	 49.2690659780055 	 (123.1976242829110)	 45.00 	 1,836.720 	141	87	 5.620 
7:42:57 PM	 49.2690571770071 	 (123.1976918410500)	 45.40 	 1,842.360 	140	87	 5.636 
7:42:58 PM	 49.2690528184175 	 (123.1977562978860)	 46.00 	 1,848.040 	141	88	 5.665 
7:42:59 PM	 49.2690435983240 	 (123.1978240236630)	 46.00 	 1,853.720 	141	88	 5.696 
7:43:05 PM	 49.2690446041524 	 (123.1982530932870)	 46.00 	 1,888.920 	142	91	 5.932 
7:43:09 PM	 49.2690612841397 	 (123.1985496450210)	 46.40 	 1,909.820 	143	93	 5.998 
7:43:10 PM	 49.2690591886639 	 (123.1986880302420)	 46.60 	 1,915.850 	143	95	 6.032 
7:43:11 PM	 49.2690615355968 	 (123.1987955700600)	 47.20 	 1,922.030 	143	97	 6.170 
7:43:12 PM	 49.2690680734813 	 (123.1989847496150)	 47.40 	 1,928.390 	143	100	 6.353 
7:43:13 PM	 49.2690664809197 	 (123.1991239730260)	 48.00 	 1,934.800 	143	96	 6.409 
7:43:18 PM	 49.2689951509237 	 (123.1996543798590)	 48.00 	 1,969.430 	143	94	 7.254 
7:43:21 PM	 49.2689439374953 	 (123.1999710481610)	 48.00 	 1,991.810 	142	92	 7.587 
7:43:23 PM	 49.2689783871173 	 (123.2001825235780)	 48.00 	 2,007.110 	142	94	 7.669 
7:43:26 PM	 49.2689791414886 	 (123.2005378324530)	 48.00 	 2,031.340 	141	100	 8.258 
7:43:27 PM	 49.2689774651080 	 (123.2006657402960)	 47.40 	 2,039.690 	141	101	 8.354 
7:43:28 PM	 49.2689803149551 	 (123.2007886189960)	 47.00 	 2,048.120 	142	102	 8.420 
7:43:29 PM	 49.2689854279160 	 (123.2009100727730)	 46.40 	 2,056.610 	141	103	 8.487 
7:43:30 PM	 49.2689872719347 	 (123.2010292634360)	 45.60 	 2,065.190 	141	104	 8.588 
7:43:31 PM	 49.2689916305243 	 (123.2011471968140)	 45.40 	 2,073.880 	141	103	 8.694 
7:43:33 PM	 49.2690097354352 	 (123.2013523019850)	 45.40 	 2,091.000 	141	100	 8.487 
7:43:34 PM	 49.2690293490886 	 (123.2014627754680)	 45.40 	 2,099.360 	141	99	 8.354 
7:43:38 PM	 49.2691700812429 	 (123.2018350157880)	 45.40 	 2,132.020 	140	99	 8.133 
7:43:41 PM	 49.2693406529724 	 (123.2020761631420)	 45.40 	 2,157.620 	140	99	 8.729 
7:43:42 PM	 49.2694090493023 	 (123.2021382730450)	 45.40 	 2,166.610 	139	100	 8.984 
7:43:44 PM	 49.2695667967200 	 (123.2022315636270)	 44.60 	 2,185.840 	139	90	 9.805 
7:43:45 PM	 49.2696518730372 	 (123.2022665999820)	 44.40 	 2,196.110 	139	92	 10.274 
7:43:46 PM	 49.2697417270392 	 (123.2022930867960)	 43.40 	 2,206.770 	138	93	 10.666 
7:43:47 PM	 49.2698374483734 	 (123.2023116946220)	 43.00 	 2,217.950 	138	93	 11.184 
7:43:48 PM	 49.2699428927153 	 (123.2023225910960)	 42.00 	 2,229.500 	137	93	 11.545 
7:43:49 PM	 49.2700392007827 	 (123.2023230940100)	 41.00 	 2,241.370 	137	93	 11.864 
7:43:50 PM	 49.2701350897550 	 (123.2023185677820)	 40.20 	 2,253.190 	136	23	 11.831 
7:43:51 PM	 49.2702414561063 	 (123.2023136224590)	 39.40 	 2,265.120 	136	0	 11.930 
7:43:52 PM	 49.2703497502952 	 (123.2022842857980)	 38.40 	 2,276.890 	136	71	 11.765 
7:43:53 PM	 49.2704467289149 	 (123.2022624090310)	 37.40 	 2,288.680 	136	96	 11.798 
7:43:54 PM	 49.2705575376749 	 (123.2022420410060)	 36.40 	 2,301.800 	135	97	 12.109 
7:43:55 PM	 49.2706498224288 	 (123.2022301387040)	 35.60 	 2,312.900 	135	98	 12.109 
7:43:56 PM	 49.2707685939967 	 (123.2022273726760)	 35.60 	 2,325.170 	135	94	 12.270 
7:43:57 PM	 49.2708873655647 	 (123.2022307254370)	 35.00 	 2,337.620 	134	94	 12.440 
7:43:58 PM	 49.2710119206458 	 (123.2022478245190)	 34.40 	 2,350.370 	134	96	 12.744 
7:43:59 PM	 49.2711258307099 	 (123.2022936735300)	 33.60 	 2,363.280 	134	97	 12.909 
7:44:00 PM	 49.2712311912328 	 (123.2023645006120)	 33.00 	 2,376.370 	133	99	 13.093 
7:44:01 PM	 49.2713481187820 	 (123.2024349085980)	 32.40 	 2,389.700 	133	100	 13.336 
7:44:02 PM	 49.2714657168835 	 (123.2025184761730)	 31.60 	 2,403.090 	133	99	 13.378 
7:44:03 PM	 49.2715745139867 	 (123.2026121858500)	 31.00 	 2,416.470 	133	98	 13.392 
7:44:04 PM	 49.2716631107032 	 (123.2027274370190)	 30.20 	 2,429.720 	133	97	 13.255 
7:44:05 PM	 49.2717428226023 	 (123.2028463762250)	 29.60 	 2,442.980 	133	95	 13.255 
7:44:06 PM	 49.2718313354998 	 (123.2029757089910)	 29.00 	 2,455.910 	133	94	 12.935 
7:44:07 PM	 49.2719102930277 	 (123.2031271699810)	 29.00 	 2,469.730 	132	93	 12.411 
7:44:08 PM	 49.2719746660441 	 (123.2032413315020)	 29.00 	 2,480.750 	132	91	 12.411 
7:44:12 PM	 49.2721863929182 	 (123.2037869933990)	 28.60 	 2,528.390 	132	92	 11.545 
7:44:13 PM	 49.2722377739846 	 (123.2039191760120)	 28.20 	 2,539.690 	131	94	 11.302 
7:44:14 PM	 49.2722841259092 	 (123.2040500175200)	 27.60 	 2,550.700 	132	92	 11.012 
7:44:15 PM	 49.2723308131098 	 (123.2041682861740)	 27.20 	 2,561.380 	132	89	 10.682 
7:44:16 PM	 49.2723753210157 	 (123.2042831182470)	 26.60 	 2,571.870 	131	94	 10.475 
7:44:18 PM	 49.2724669352173 	 (123.2045186497270)	 26.60 	 2,592.370 	131	97	 10.177 
7:44:25 PM	 49.2727495729923 	 (123.2052777986970)	 26.60 	 2,659.820 	130	97	 9.309 
7:44:30 PM	 49.2729543428868 	 (123.2057538069780)	 26.60 	 2,705.140 	129	96	 9.189 
7:44:31 PM	 49.2730279359966 	 (123.2057592552150)	 26.60 	 2,713.950 	129	95	 8.810 
7:44:34 PM	 49.2732824105769 	 (123.2056933734560)	 26.60 	 2,740.170 	129	95	 8.739 
7:44:41 PM	 49.2738611809909 	 (123.2056733407080)	 26.60 	 2,800.870 	129	96	 8.234 
7:44:43 PM	 49.2740060202777 	 (123.2056659646330)	 26.60 	 2,817.150 	130	97	 8.079 
7:44:51 PM	 49.2745679430663 	 (123.2056471053510)	 26.60 	 2,881.760 	129	98	 8.173 
7:44:54 PM	 49.2747836932539 	 (123.2056685630230)	 26.60 	 2,906.280 	129	97	 8.173 
7:44:56 PM	 49.2748737987130 	 (123.2058246340600)	 26.60 	 2,922.650 	128	96	 8.142 
7:44:59 PM	 49.2748805880546 	 (123.2061456609510)	 26.60 	 2,946.710 	129	97	 8.020 
7:45:02 PM	 49.2748204898089 	 (123.2064697891470)	 26.60 	 2,971.090 	128	98	 8.142 
7:45:03 PM	 49.2747942544519 	 (123.2065844535820)	 26.60 	 2,979.110 	129	97	 8.020 
7:45:11 PM	 49.2746423743665 	 (123.2074582669880)	 26.60 	 3,043.760 	127	97	 8.050 
7:45:13 PM	 49.2746098525822 	 (123.2076723407950)	 26.60 	 3,060.130 	127	98	 8.142 
7:45:21 PM	 49.2744786757975 	 (123.2085538655510)	 26.60 	 3,126.610 	127	99	 8.345 
7:45:25 PM	 49.2744578886777 	 (123.2089877128600)	 26.60 	 3,159.260 	127	99	 8.251 
7:45:33 PM	 49.2744959425181 	 (123.2098736800250)	 26.60 	 3,225.600 	126	98	 8.345 
7:45:34 PM	 49.2745012231171 	 (123.2099893502890)	 26.60 	 3,233.850 	126	98	 8.251 
7:45:37 PM	 49.2745419591665 	 (123.2103138975790)	 26.60 	 3,258.540 	127	98	 8.126 
7:45:39 PM	 49.2745961062610 	 (123.2105166558170)	 26.60 	 3,275.010 	128	99	 8.218 
7:45:40 PM	 49.2746299691498 	 (123.2106148079030)	 27.20 	 3,283.330 	128	99	 8.314 
7:45:41 PM	 49.2746597249060 	 (123.2107170671220)	 27.60 	 3,291.660 	129	100	 8.345 
7:45:42 PM	 49.2746916599571 	 (123.2108201645310)	 28.00 	 3,300.020 	129	102	 8.345 
7:45:43 PM	 49.2747230082750 	 (123.2109266985200)	 28.20 	 3,308.530 	130	102	 8.510 
7:45:44 PM	 49.2747525125741 	 (123.2110364176330)	 28.60 	 3,317.070 	130	103	 8.543 
7:45:47 PM	 49.2748454678803 	 (123.2113717775790)	 28.60 	 3,342.970 	131	102	 8.647 
7:45:54 PM	 49.2750539258122 	 (123.2121193595230)	 28.60 	 3,403.510 	130	103	 8.647 
7:45:58 PM	 49.2751700989902 	 (123.2125329226250)	 28.60 	 3,437.130 	129	101	 8.543 
7:46:06 PM	 49.2754069715738 	 (123.2133681792760)	 28.60 	 3,505.590 	128	98	 8.251 
7:46:11 PM	 49.2755394894629 	 (123.2138695847240)	 28.60 	 3,545.920 	130	100	 8.378 
7:46:19 PM	 49.2758005857467 	 (123.2147191744290)	 28.60 	 3,614.340 	132	103	 8.614 
7:46:27 PM	 49.2761179246008 	 (123.2155030500140)	 28.60 	 3,682.580 	133	103	 8.593 
7:46:30 PM	 49.2762000672519 	 (123.2158236578100)	 28.60 	 3,708.780 	132	97	 8.805 
7:46:32 PM	 49.2762112151831 	 (123.2160814013330)	 28.60 	 3,726.670 	133	96	 8.913 
7:46:39 PM	 49.2762908432632 	 (123.2168806158000)	 28.60 	 3,787.620 	133	93	 8.593 
7:46:40 PM	 49.2763057630509 	 (123.2169996388250)	 28.60 	 3,796.170 	133	93	 8.559 
7:46:46 PM	 49.2763801105320 	 (123.2177276071160)	 28.60 	 3,848.530 	133	93	 8.732 
7:46:48 PM	 49.2763838823884 	 (123.2179491408160)	 28.60 	 3,865.000 	133	92	 8.559 
7:46:52 PM	 49.2763845529407 	 (123.2184095587580)	 28.60 	 3,898.410 	132	98	 8.215 
7:47:00 PM	 49.2764675337821 	 (123.2192814443260)	 28.60 	 3,963.600 	134	98	 8.473 
7:47:02 PM	 49.2764977086335 	 (123.2194914948190)	 28.60 	 3,980.000 	134	96	 8.184 
7:47:10 PM	 49.2766592279076 	 (123.2203405816100)	 28.60 	 4,045.560 	136	96	 8.092 
7:47:18 PM	 49.2768505867570 	 (123.2211309112600)	 28.60 	 4,108.470 	137	95	 7.883 
7:47:23 PM	 49.2769715376198 	 (123.2216315623370)	 28.60 	 4,148.450 	137	95	 7.942 
7:47:27 PM	 49.2770995292812 	 (123.2220402639350)	 28.60 	 4,181.020 	136	96	 8.079 
7:47:30 PM	 49.2771837674081 	 (123.2223454490300)	 28.60 	 4,205.040 	137	97	 7.988 
7:47:36 PM	 49.2772918939590 	 (123.2229564897710)	 28.60 	 4,252.060 	137	96	 8.111 
7:47:37 PM	 49.2773182969540 	 (123.2230613473800)	 28.60 	 4,260.040 	136	94	 7.988 
7:47:45 PM	 49.2774338833987 	 (123.2239202409980)	 28.60 	 4,323.330 	136	95	 7.901 
7:47:47 PM	 49.2774391639977 	 (123.2241314649580)	 28.60 	 4,338.500 	135	97	 7.988 
7:47:48 PM	 49.2774434387683 	 (123.2242392562320)	 28.60 	 4,346.580 	135	98	 8.079 
7:47:49 PM	 49.2774536646902 	 (123.2243492268020)	 28.60 	 4,354.740 	136	99	 8.111 
7:47:56 PM	 49.2775305267423 	 (123.2250946294510)	 28.60 	 4,411.330 	135	97	 8.019 
7:48:04 PM	 49.2776280082762 	 (123.2259403634810)	 28.60 	 4,474.910 	136	96	 7.988 
7:48:07 PM	 49.2776944767683 	 (123.2262571994210)	 28.60 	 4,498.850 	136	95	 7.929 
7:48:09 PM	 49.2777453549206 	 (123.2264438644050)	 28.60 	 4,514.830 	137	97	 7.988 
7:48:16 PM	 49.2779188603162 	 (123.2271533925080)	 28.60 	 4,571.270 	136	99	 8.171 
7:48:24 PM	 49.2780891805887 	 (123.2280222605910)	 28.60 	 4,636.310 	136	96	 8.019 
7:48:32 PM	 49.2782590817660 	 (123.2288510631760)	 28.60 	 4,700.350 	137	96	 7.988 
7:48:33 PM	 49.2782807070761 	 (123.2289492990820)	 28.60 	 4,708.330 	137	96	 7.988 
7:48:40 PM	 49.2783330939710 	 (123.2297026645390)	 28.60 	 4,764.140 	136	95	 7.974 
7:48:48 PM	 49.2783134803175 	 (123.2306525856250)	 28.60 	 4,828.620 	136	96	 8.005 
7:48:56 PM	 49.2782394681125 	 (123.2315519638350)	 28.60 	 4,891.720 	135	95	 7.915 
7:49:04 PM	 49.2781520448625 	 (123.2324133720240)	 28.60 	 4,955.040 	136	94	 7.857 
7:49:10 PM	 49.2780915275216 	 (123.2330769672980)	 28.60 	 5,002.970 	136	96	 7.989 
7:49:13 PM	 49.2780864145606 	 (123.2334082201120)	 28.60 	 5,026.870 	136	96	 8.005 
7:49:21 PM	 49.2781103029847 	 (123.2342278864230)	 28.60 	 5,089.020 	137	94	 7.772 
7:49:23 PM	 49.2781584151089 	 (123.2344464026390)	 28.60 	 5,105.250 	137	94	 7.801 
7:49:31 PM	 49.2783421464264 	 (123.2353054638950)	 28.60 	 5,170.270 	138	100	 8.347 
7:49:32 PM	 49.2783705610781 	 (123.2354154344640)	 28.60 	 5,178.750 	138	100	 8.347 
7:49:40 PM	 49.2785891611129 	 (123.2362700533120)	 28.60 	 5,245.580 	137	100	 8.314 
7:49:48 PM	 49.2788067553192 	 (123.2370560243720)	 28.60 	 5,308.390 	138	102	 7.448 
7:49:56 PM	 49.2790470644831 	 (123.2377054542300)	 28.60 	 5,366.200 	137	97	 7.079 
7:49:59 PM	 49.2791130300611 	 (123.2379548996680)	 28.60 	 5,387.220 	137	95	 6.897 
7:50:01 PM	 49.2791349068284 	 (123.2381385471670)	 29.20 	 5,400.350 	137	93	 6.831 
7:50:02 PM	 49.2791589628905 	 (123.2382294908160)	 29.60 	 5,407.680 	137	93	 6.789 
7:50:03 PM	 49.2791765648871 	 (123.2383062690490)	 30.20 	 5,413.930 	137	94	 6.789 
7:50:04 PM	 49.2791965976357 	 (123.2383900042620)	 30.60 	 5,420.770 	137	94	 6.831 
